food0_AVE,food1_AVE,food2_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,novelty_AVE,optimizeValue_AVE,repeated_AVE,score_AVE,switches_AVE,total_AVE,update
45.463333,44.610000,50.850000,11947.630000,5.050000,5.050000,0.734848,26.456667,59.419333,68.990000,59.419333,25.743333,95.460000,630
37.516667,50.303333,55.796667,12718.380000,5.330000,5.330000,0.930404,28.540000,63.535333,77.233333,63.535333,30.403333,106.100000,640
33.033333,48.990000,55.080000,13161.940000,4.870000,4.870000,0.821313,26.590000,59.797333,79.136667,59.797333,31.623333,104.070000,650
35.113333,49.596667,56.240000,13568.740000,5.140000,5.140000,1.091313,27.243333,63.734000,79.140000,63.734000,30.073333,105.836667,660
22.673333,51.653333,59.033333,14300.030000,5.520000,5.520000,0.696566,28.903333,66.997333,83.076667,66.997333,31.206667,110.686667,670
33.813333,49.703333,56.813333,14414.480000,5.930000,5.930000,0.671818,28.750000,65.100000,77.393333,65.100000,29.583333,106.516667,680
36.283333,49.103333,56.030000,13725.050000,6.230000,6.230000,1.451616,27.713333,64.799333,77.103333,64.799333,28.810000,105.133333,690
31.956667,47.166667,53.653333,12891.100000,6.080000,6.080000,2.579394,26.230000,60.714667,75.216667,60.714667,28.646667,100.820000,700
23.926667,52.236667,58.626667,12047.430000,5.990000,5.990000,2.111010,29.443333,67.220667,81.083333,67.220667,31.173333,110.863333,710
28.603333,50.980000,56.756667,12015.540000,5.500000,5.500000,1.383838,27.436667,63.300667,80.046667,63.300667,31.740000,107.736667,720
33.970000,46.773333,52.923333,12908.250000,5.630000,5.630000,1.003131,24.896667,59.031333,74.520000,59.031333,29.046667,99.696667,730
30.866667,48.013333,55.030000,12558.350000,5.760000,5.760000,1.335758,26.520000,62.415333,76.166667,62.415333,29.020000,103.043333,740
31.180000,49.260000,55.193333,13095.980000,5.150000,5.150000,0.977273,27.823333,62.052000,76.390000,62.052000,30.286667,104.453333,750
41.920000,48.203333,53.333333,11933.650000,5.300000,5.300000,1.000000,26.793333,61.151333,74.316667,61.151333,28.846667,101.536667,760
42.580000,45.400000,50.333333,12757.910000,5.530000,5.530000,0.716263,25.933333,58.516667,69.466667,58.516667,26.583333,95.733333,770
25.896667,50.950000,58.796667,12921.890000,5.300000,5.300000,1.202020,29.106667,68.628667,80.316667,68.628667,29.370000,109.746667,780
46.856667,44.173333,50.740000,13323.400000,5.820000,5.820000,2.270303,24.346667,56.044667,70.280000,56.044667,27.763333,94.913333,790
36.460000,44.873333,51.756667,14064.750000,6.320000,6.320000,2.017778,25.200000,57.906000,71.166667,57.906000,27.660000,96.630000,800
47.303333,46.580000,52.826667,15518.810000,6.230000,6.230000,1.552626,26.983333,59.595333,73.180000,59.595333,28.436667,99.406667,810
37.293333,48.313333,53.803333,13713.630000,6.470000,6.470000,1.645556,26.760000,60.098000,75.096667,60.098000,30.013333,102.116667,820
26.983333,48.463333,56.490000,14315.460000,5.750000,5.750000,2.128788,26.923333,59.444000,77.720000,59.444000,32.506667,104.953333,830
38.856667,49.216667,56.046667,12825.690000,6.410000,6.410000,2.506970,26.153333,57.682000,79.086667,57.682000,33.986667,105.263333,840
47.950000,46.406667,51.720000,11412.920000,7.110000,7.110000,1.553434,26.590000,57.456667,71.110000,57.456667,29.050000,98.126667,850
47.610000,45.996667,51.720000,11163.380000,6.940000,6.940000,2.279192,26.320000,57.578667,71.020000,57.578667,28.670000,97.716667,860
41.593333,50.770000,55.620000,10754.050000,6.540000,6.540000,1.786263,28.256667,59.485333,77.700000,59.485333,33.503333,106.390000,870
49.103333,47.073333,51.403333,10575.720000,6.780000,6.780000,1.466263,25.983333,54.801333,72.103333,54.801333,31.196667,98.476667,880
57.500000,44.800000,48.170000,10705.490000,6.390000,6.390000,0.664545,24.913333,52.995333,67.673333,52.995333,28.553333,92.970000,890
44.753333,53.050000,57.136667,10870.220000,6.720000,6.720000,0.850101,28.790000,59.838000,80.986667,59.838000,35.963333,110.186667,900
42.140000,53.056667,54.770000,10531.190000,6.320000,6.320000,0.664242,27.993333,58.845333,79.530000,58.845333,34.986667,107.826667,910
41.356667,53.036667,54.813333,10449.550000,6.180000,6.180000,0.674343,27.386667,56.451333,80.230000,56.451333,36.713333,107.850000,920
45.153333,54.160000,56.390000,11133.460000,5.890000,5.890000,1.573636,28.103333,61.900000,83.630000,61.900000,34.750000,110.550000,930
