0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.450000,0.884200,0.458000,0.934500,0.446000,0.929900,0.436000,0.889400,0.438000,0.902700,0.388000,0.779300,0.480000,0.940900,0.442000,0.858900,0.496000,0.973800,0.496000,0.984300,1813.462000,83.486000,83.486000,2277.480766,7.127625,7.127625,4.530000,40.866000,550
0.464000,0.917300,0.478000,0.885700,0.492000,0.968100,0.418000,0.856100,0.444000,0.917900,0.368000,0.793300,0.470000,0.938200,0.386000,0.812700,0.474000,0.959800,0.508000,0.981400,1821.086000,91.976000,91.976000,2585.871166,7.077375,7.077375,4.502000,40.650000,560
0.458000,0.949300,0.460000,0.931900,0.478000,0.975100,0.422000,0.822900,0.438000,0.942300,0.374000,0.702700,0.474000,0.940500,0.388000,0.819100,0.494000,0.964500,0.490000,0.977600,1819.946000,102.068000,102.068000,3456.921218,7.105125,7.105125,4.476000,40.646000,570
0.514000,0.951800,0.460000,0.931600,0.462000,0.958000,0.426000,0.824900,0.454000,0.918800,0.340000,0.743100,0.474000,0.942400,0.392000,0.662600,0.452000,0.960000,0.492000,0.995600,1817.270000,103.906000,103.906000,4685.279723,6.911375,6.911375,4.466000,39.982000,580
0.420000,0.888700,0.512000,0.937700,0.484000,0.965800,0.390000,0.800800,0.456000,0.892800,0.390000,0.739500,0.416000,0.908300,0.280000,0.588500,0.482000,0.976400,0.514000,0.992000,1823.836000,92.908000,92.908000,3325.406349,6.775375,6.775375,4.344000,39.102000,590
0.510000,0.926200,0.446000,0.941700,0.520000,0.987600,0.406000,0.791900,0.478000,0.912200,0.274000,0.641200,0.476000,0.927000,0.272000,0.597300,0.456000,0.944800,0.500000,0.996000,1814.858000,107.144000,107.144000,3074.512289,6.761500,6.761500,4.338000,38.988000,600
0.432000,0.882400,0.476000,0.936400,0.496000,0.985600,0.420000,0.812400,0.456000,0.923600,0.346000,0.734500,0.482000,0.919800,0.332000,0.611900,0.472000,0.936400,0.448000,1.000000,1817.052000,110.280000,110.280000,2728.783166,6.860000,6.860000,4.360000,39.360000,610
0.450000,0.868900,0.454000,0.899900,0.430000,0.964900,0.396000,0.842200,0.506000,0.909500,0.396000,0.812000,0.472000,0.887000,0.378000,0.702700,0.508000,0.949300,0.432000,0.998400,1822.724000,103.784000,103.784000,2647.796938,6.901875,6.901875,4.422000,39.746000,620
0.456000,0.928300,0.442000,0.896100,0.488000,0.982200,0.354000,0.801100,0.472000,0.904600,0.382000,0.812000,0.454000,0.879400,0.358000,0.729800,0.504000,0.969900,0.538000,1.000000,1817.548000,109.738000,109.738000,2389.540437,6.960750,6.960750,4.448000,40.072000,630
0.514000,0.920700,0.390000,0.830700,0.514000,0.984000,0.402000,0.874100,0.446000,0.922100,0.410000,0.883100,0.470000,0.899200,0.344000,0.715700,0.488000,0.975300,0.516000,1.000000,1815.876000,105.818000,105.818000,1938.105086,7.041500,7.041500,4.494000,40.528000,640
0.438000,0.946400,0.404000,0.824600,0.486000,0.994000,0.500000,0.936700,0.466000,0.925500,0.456000,0.854800,0.444000,0.938800,0.388000,0.742800,0.476000,0.979100,0.476000,1.000000,1820.796000,106.128000,106.128000,1903.839295,7.190625,7.190625,4.534000,41.166000,650
0.472000,0.963000,0.394000,0.741800,0.478000,0.998000,0.426000,0.879400,0.464000,0.912400,0.496000,0.883600,0.508000,0.971100,0.328000,0.731900,0.482000,0.974800,0.460000,1.000000,1822.584000,107.842000,107.842000,2558.662361,7.118875,7.118875,4.508000,40.778000,660
0.494000,0.978400,0.344000,0.762500,0.476000,0.998000,0.426000,0.839800,0.458000,0.868900,0.466000,0.932400,0.512000,0.922700,0.364000,0.744600,0.496000,0.988500,0.480000,1.000000,1838.090000,115.342000,115.342000,2782.606248,7.065875,7.065875,4.516000,40.670000,670
0.448000,0.952100,0.378000,0.788700,0.500000,0.993000,0.416000,0.842500,0.444000,0.902300,0.426000,0.894300,0.468000,0.913100,0.444000,0.859500,0.512000,0.976500,0.512000,0.999600,1821.554000,113.386000,113.386000,2581.083170,7.153125,7.153125,4.548000,41.066000,680
0.448000,0.953600,0.430000,0.812900,0.494000,0.995000,0.388000,0.797600,0.396000,0.855700,0.404000,0.831300,0.476000,0.916900,0.480000,0.848000,0.490000,0.963900,0.504000,0.997600,1813.560000,100.798000,100.798000,2669.925046,6.979750,6.979750,4.510000,40.356000,690
0.484000,0.953100,0.382000,0.776400,0.476000,0.971200,0.384000,0.799300,0.460000,0.896700,0.402000,0.801400,0.478000,0.901900,0.402000,0.817800,0.480000,0.955600,0.512000,0.992400,1815.288000,93.154000,93.154000,2282.475234,6.893500,6.893500,4.460000,39.876000,700
