0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.550000,0.987500,0.440000,0.889000,0.410000,0.858500,0.480000,0.950000,0.480000,0.970000,0.420000,0.914000,0.470000,0.990000,0.380000,0.833500,0.480000,0.960000,0.430000,0.829000,6230.530000,7.160000,7.160000,4.540000,41.300000,350
0.490000,0.913500,0.580000,0.902500,0.360000,0.936000,0.410000,0.990000,0.540000,0.990000,0.420000,0.974000,0.540000,0.948000,0.480000,0.923000,0.460000,0.938000,0.370000,0.790000,5805.810000,7.308125,7.308125,4.650000,41.890000,360
0.480000,0.969500,0.390000,0.875500,0.450000,0.963500,0.480000,0.978000,0.470000,0.950000,0.520000,0.963500,0.540000,0.972000,0.430000,0.899000,0.470000,0.948000,0.450000,0.913000,6627.030000,7.370625,7.370625,4.680000,42.450000,370
0.420000,0.956500,0.390000,0.857500,0.490000,0.983000,0.560000,0.975500,0.500000,0.967500,0.370000,0.954500,0.530000,0.945000,0.500000,0.867000,0.460000,0.961500,0.420000,0.888000,6062.680000,7.391875,7.391875,4.640000,42.130000,380
0.510000,0.949000,0.390000,0.802000,0.420000,0.965500,0.560000,0.935000,0.370000,0.970000,0.560000,0.942500,0.420000,0.990000,0.400000,0.848000,0.550000,0.939500,0.440000,0.896000,6042.540000,7.294375,7.294375,4.620000,41.610000,390
0.440000,0.972500,0.380000,0.821000,0.470000,0.931000,0.440000,0.903000,0.550000,0.990000,0.550000,0.925000,0.480000,0.998000,0.380000,0.886500,0.470000,0.926500,0.410000,0.801000,6476.310000,7.110000,7.110000,4.570000,41.160000,400
0.430000,0.968000,0.500000,0.797000,0.490000,0.926000,0.410000,0.821000,0.450000,0.930000,0.330000,0.839000,0.520000,0.963500,0.420000,0.846000,0.440000,0.906000,0.420000,0.796500,4891.730000,6.809375,6.809375,4.410000,39.550000,410
0.580000,0.990000,0.370000,0.846500,0.440000,0.932500,0.490000,0.884000,0.430000,0.942500,0.490000,0.886000,0.410000,0.956000,0.480000,0.876500,0.500000,0.955500,0.390000,0.867500,6244.450000,7.128750,7.128750,4.580000,41.100000,420
0.460000,0.980000,0.470000,0.923000,0.430000,0.903500,0.500000,0.945000,0.470000,0.930000,0.470000,0.923000,0.570000,0.970000,0.390000,0.799500,0.600000,0.931000,0.320000,0.910000,5446.270000,7.058750,7.058750,4.680000,41.380000,430
0.460000,0.988500,0.410000,0.941000,0.510000,0.953000,0.400000,0.860000,0.490000,0.950000,0.430000,0.978000,0.500000,0.966000,0.490000,0.866000,0.470000,0.934500,0.390000,0.827500,6651.160000,7.280000,7.280000,4.550000,41.680000,440
0.480000,0.940000,0.490000,0.920500,0.470000,0.944000,0.420000,0.862500,0.510000,0.977500,0.450000,0.920500,0.490000,0.952500,0.310000,0.683000,0.510000,0.928000,0.340000,0.845000,6913.190000,6.986875,6.986875,4.470000,40.370000,450
0.400000,0.926000,0.470000,0.926000,0.560000,0.925000,0.480000,0.913000,0.440000,0.992500,0.440000,0.891500,0.440000,0.974000,0.430000,0.805500,0.500000,0.965500,0.390000,0.909000,6048.240000,7.283125,7.283125,4.550000,41.550000,460
0.570000,0.970000,0.430000,0.911500,0.430000,0.893500,0.480000,0.949000,0.400000,0.930000,0.440000,0.990000,0.540000,0.948500,0.300000,0.734000,0.490000,0.960000,0.570000,0.911000,5937.150000,7.143125,7.143125,4.650000,41.370000,470
0.530000,0.954000,0.450000,0.826000,0.450000,0.946000,0.440000,0.902500,0.430000,0.990000,0.400000,0.980000,0.520000,0.980000,0.390000,0.816000,0.500000,0.976000,0.480000,0.930000,4880.220000,7.333125,7.333125,4.590000,41.890000,480
